title,mechanisms
Rebirth,"Area Majority / Influence, Variable Phase Order"
Paris: La Cité de la Lumière,"Area Majority / Influence, Variable Phase Order"
Blue Moon City,"Area Majority / Influence, Variable Phase Order"
Earthborne Rangers,"Area Majority / Influence, Variable Phase Order"
CO₂: Second Chance,"Area Majority / Influence, Variable Phase Order"
Clever Cubed,"Area Majority / Influence, Variable Phase Order"
Diamant,"Area Majority / Influence, Variable Phase Order"
Circadians: First Light,"Area Majority / Influence, Variable Phase Order"
Yspahan,"Area Majority / Influence, Variable Phase Order"
Advanced Squad Leader: Starter Kit #1,"Area Majority / Influence, Variable Phase Order"
New York Zoo,"Area Majority / Influence, Variable Phase Order"
Deep Sea Adventure,"Area Majority / Influence, Variable Phase Order"
Blue Lagoon,"Area Majority / Influence, Variable Phase Order"
Eminent Domain,"Area Majority / Influence, Variable Phase Order"
Ricochet Robots,"Area Majority / Influence, Variable Phase Order"
Thunderstone Advance: Towers of Ruin,"Area Majority / Influence, Variable Phase Order"
Middle-Earth Quest,"Area Majority / Influence, Variable Phase Order"
Startups,"Area Majority / Influence, Variable Phase Order"
Disney Villainous: The Worst Takes it All,"Area Majority / Influence, Variable Phase Order"
The Pursuit of Happiness,"Area Majority / Influence, Variable Phase Order"
Tumblin' Dice,"Area Majority / Influence, Variable Phase Order"
Wallenstein,"Area Majority / Influence, Variable Phase Order"
Disney Villainous: Perfectly Wretched,"Area Majority / Influence, Variable Phase Order"
A War of Whispers,"Area Majority / Influence, Variable Phase Order"
Warhammer: Invasion,"Area Majority / Influence, Variable Phase Order"
878 Vikings: Invasions of England,"Area Majority / Influence, Variable Phase Order"
Kanagawa,"Area Majority / Influence, Variable Phase Order"
